term,p_value,category,gene_list,odds_ratio
keratinization,2.291836869036689e-22,BP,Genelist1,37.96309185822878
cornified envelope,2.7040959204617073e-21,BP,Genelist1,47.66309300455642
keratinocyte differentiation,3.028739857726279e-20,BP,Genelist1,18.589403973509935
epidermis development,4.244291103690393e-20,BP,Genelist1,10.67065868263473
skin development,3.2551543226915936e-18,BP,Genelist1,11.330048866458384
extracellular region,2.296525323402652e-17,BP,Genelist1,3.1109959649857784
epidermal cell differentiation,2.0011134140741627e-16,BP,Genelist1,12.428571428571429
extracellular space,2.7063923240235675e-14,BP,Genelist1,3.013990276610283
response to bacterium,8.103681452677322e-14,BP,Genelist1,5.919265649192656
biological process involved in interspecies interaction between organisms,9.329649603276012e-14,BP,Genelist1,3.9116134784254815
defense response,2.1844972285499404e-12,BP,Genelist1,3.6490838164213666
response to other organism,3.102968814278799e-12,BP,Genelist1,3.8526315789473684
response to external biotic stimulus,3.3435879475919435e-12,BP,Genelist1,3.844311377245509
response to biotic stimulus,7.88275391676605e-12,BP,Genelist1,3.7496406816781875
defense response to other organism,2.0223041121718275e-10,BP,Genelist1,3.944915254237288
epithelial cell differentiation,2.0653332758739496e-09,BP,Genelist1,4.744821872410936
vesicle,2.33442316817454e-09,BP,Genelist1,2.3204149532186116
response to external stimulus,6.181938223195355e-09,BP,Genelist1,2.6915852022235
inflammatory response,6.714984190289086e-09,BP,Genelist1,4.367887173555189
extracellular exosome,7.762532622326359e-09,BP,Genelist1,2.79450909792323
immune response,8.816577855588704e-09,BP,Genelist1,2.9891457670882446
extracellular vesicle,1.1601375792844876e-08,BP,Genelist1,2.758589569218645
extracellular membrane-bounded organelle,1.1795566016031947e-08,BP,Genelist1,2.757110867597313
extracellular organelle,1.1795566016031947e-08,BP,Genelist1,2.757110867597313
establishment of skin barrier,1.6083998026875065e-08,BP,Genelist1,37.27225130890052
cell periphery,1.93542097568666e-08,BP,Genelist1,1.9756937822591063
defense response to symbiont,2.991578479476754e-08,BP,Genelist1,3.683982683982684
response to molecule of bacterial origin,5.1459966084030964e-08,BP,Genelist1,6.4757152361942785
plasma membrane,6.512248341163223e-08,BP,Genelist1,1.9658143413007225
defense response to bacterium,9.257945101798572e-08,BP,Genelist1,6.687357816054599
response to stress,1.035841929281102e-07,BP,Genelist1,2.2783253734376587
response to lipopolysaccharide,1.6368012465085124e-07,BP,Genelist1,6.4516618157101275
tissue development,1.6924584256857617e-07,BP,Genelist1,2.7913091539893253
antimicrobial humoral response,1.8509489078483672e-07,BP,Genelist1,11.595486268467326
cellular response to chemical stimulus,1.1984853822657572e-06,BP,Genelist1,2.4157161689688773
immune system process,1.3951981714450244e-06,BP,Genelist1,2.3808310839067786
epithelium development,1.6581776592035029e-06,BP,Genelist1,3.2002367151224544
organophosphate catabolic process,3.7443669948924106e-06,BP,Genelist1,7.150474799123447
secretory granule lumen,4.199810143710182e-06,BP,Genelist1,5.576659038901602
cytoplasmic vesicle lumen,4.7882178781357845e-06,BP,Genelist1,5.521314261436057
vesicle lumen,5.000517545291836e-06,BP,Genelist1,5.503105590062112
peptide cross-linking,5.632436423602225e-06,BP,Genelist1,34.16062176165803
innate immune response,5.948736367539971e-06,BP,Genelist1,3.4179037336932074
cytoplasm,1.2237781743518384e-05,BP,Genelist1,1.417692991621965
carbohydrate derivative catabolic process,1.4649401431106441e-05,BP,Genelist1,6.418535944851734
membrane,1.5917645164382052e-05,BP,Genelist1,1.5158707535995033
cytosol,2.3002058676018438e-05,BP,Genelist1,1.7375055014915155
skin epidermis development,3.683439152598924e-05,BP,Genelist1,9.387544453118224
secretory granule,4.29541806853177e-05,BP,Genelist1,3.104641627029687
antimicrobial humoral immune response mediated by antimicrobial peptide,7.050779777565422e-05,BP,Genelist1,12.560775435120984
cellular response to lipopolysaccharide,7.560257712012338e-05,BP,Genelist1,6.77859366270253
regulation of defense response,7.617504800323491e-05,BP,Genelist1,3.4926686217008798
cellular response to cytokine stimulus,9.718885963421595e-05,BP,Genelist1,3.332046332046332
cellular response to molecule of bacterial origin,0.00012934419950450568,BP,Genelist1,6.454038573637124
response to cytokine,0.00018816686438055265,BP,Genelist1,3.11616046281495
calcium-dependent phospholipase A2 activity,0.00020810633906876035,BP,Genelist1,42.282051282051285
anatomical structure development,0.00024365926083587974,BP,Genelist1,1.7056866410373976
response to chemical,0.0002951572501949909,BP,Genelist1,1.8783867375974268
cellular response to organic substance,0.0003078685345953867,BP,Genelist1,2.313438632832729
regulation of peptidase activity,0.0003495299896340685,BP,Genelist1,5.889228418640183
multicellular organismal process,0.0003828520994188872,BP,Genelist1,1.5835960082137672
cellular response to biotic stimulus,0.00046227219998910753,BP,Genelist1,5.73837406078657
structural constituent of skin epidermis,0.00051023741542012,BP,Genelist1,20.38144329896907
lipid binding,0.000516691267161972,BP,Genelist1,3.168409925447869
cytokine-mediated signaling pathway,0.0005468475538932002,BP,Genelist1,3.972287587672203
humoral immune response,0.0005545382095287195,BP,Genelist1,5.641977500166419
response to lipid,0.000557640189083843,BP,Genelist1,3.0175578611332803
RAGE receptor binding,0.000821458114582351,BP,Genelist1,67.3265306122449
response to organic substance,0.0009209498917019485,BP,Genelist1,2.0412092765033942
response to oxygen-containing compound,0.0009346305456851996,BP,Genelist1,2.3677313677313676
secretory vesicle,0.0010787721963212299,BP,Genelist1,2.5665024630541873
cytoplasmic vesicle,0.0011099827976148622,BP,Genelist1,1.9216328425178577
intracellular vesicle,0.00116840387997529,BP,Genelist1,1.9171974522292994
regulation of inflammatory response,0.0015643202502546151,BP,Genelist1,4.378378378378378
fatty acid binding,0.002933289527026815,BP,Genelist1,14.549337260677467
regulation of response to external stimulus,0.0029525698848781746,BP,Genelist1,2.6656276999464112
cellular catabolic process,0.003295911535927897,BP,Genelist1,2.2992521657387206
phospholipase activity,0.0039012944505804354,BP,Genelist1,8.291666666666666
serine-type endopeptidase activity,0.003974874696186583,BP,Genelist1,6.077399380804954
regulation of multicellular organismal process,0.004086258738196335,BP,Genelist1,1.8864965383335688
organonitrogen compound metabolic process,0.004851358038982318,BP,Genelist1,1.5683485720735975
calcium-dependent protein binding,0.00486768027841679,BP,Genelist1,9.937823834196891
cellular response to oxygen-containing compound,0.004924709402740331,BP,Genelist1,2.526372832369942
endomembrane system,0.005069111746828424,BP,Genelist1,1.5417216877318745
monocarboxylic acid binding,0.005293352020630284,BP,Genelist1,9.801192419618141
regulation of cytokine production,0.005431571806794595,BP,Genelist1,2.971651016284322
response to stimulus,0.005456278753849861,BP,Genelist1,1.41803212106443
regulation of endopeptidase activity,0.005602486190931773,BP,Genelist1,5.4820919820919825
positive regulation of defense response,0.0056139780791092525,BP,Genelist1,3.6970855231724795
cytokine production,0.00612668347687517,BP,Genelist1,2.947200070753674
phospholipid binding,0.006325752620178295,BP,Genelist1,3.5998510380783912
ceramide metabolic process,0.006713744826052805,BP,Genelist1,8.376700680272108
cellular lipid catabolic process,0.007267824299999795,BP,Genelist1,5.326756663205261
regulation of immune system process,0.008105494006214775,BP,Genelist1,2.268933113321001
interleukin-1 receptor binding,0.008851406058018546,BP,Genelist1,31.062794348508636
animal organ development,0.009095913624086486,BP,Genelist1,1.824381492391858
serine-type peptidase activity,0.009154513475141395,BP,Genelist1,5.490481522956327
positive regulation of response to external stimulus,0.009289573107561027,BP,Genelist1,3.21453673230323
cell population proliferation,0.00967384004456536,BP,Genelist1,2.0556260067861674
serine hydrolase activity,0.010883831118597394,BP,Genelist1,5.375
locomotion,0.011451000240475974,BP,Genelist1,2.404140586463357
regulation of interleukin-6 production,0.011536095145486567,BP,Genelist1,6.52319150505125
interleukin-6 production,0.011536095145486567,BP,Genelist1,6.52319150505125
phospholipase A2 activity,0.012626665685117389,BP,Genelist1,15.83974358974359
developmental process,0.01351310496171034,BP,Genelist1,1.4956459901514847
phospholipid catabolic process,0.013788482344640567,BP,Genelist1,12.466442247001893
defense response to Gram-positive bacterium,0.01690876604819094,BP,Genelist1,7.324404761904762
lipase activity,0.019142500032316247,BP,Genelist1,6.558333333333334
sphingolipid metabolic process,0.020393806309352277,BP,Genelist1,6.050816137973514
chemotaxis,0.020394614666537133,BP,Genelist1,3.5024131274131274
defense response to fungus,0.020836001256340893,BP,Genelist1,11.523244504960125
taxis,0.021459734487333387,BP,Genelist1,3.4864864864864864
regulation of cell population proliferation,0.02607628733685458,BP,Genelist1,2.0938536529087712
canonical glycolysis,0.02720243460474997,BP,Genelist1,28.842565597667637
glucose catabolic process to pyruvate,0.02720243460474997,BP,Genelist1,28.842565597667637
NADH regeneration,0.02720243460474997,BP,Genelist1,28.842565597667637
serine-type endopeptidase inhibitor activity,0.027641437001765974,BP,Genelist1,7.444300518134715
cellular lipid metabolic process,0.02974344120559006,BP,Genelist1,2.490098611159055
nucleotide catabolic process,0.03001800476640573,BP,Genelist1,5.747813079249456
regulation of hydrolase activity,0.03244052549380872,BP,Genelist1,3.0405693486376033
regulation of chemokine production,0.03254814553242649,BP,Genelist1,8.124352331606218
chemokine production,0.03254814553242649,BP,Genelist1,8.124352331606218
hydrolase activity,0.0336978541218895,BP,Genelist1,1.894805761676124
nucleoside monophosphate catabolic process,0.03422778211205358,BP,Genelist1,26.918367346938776
catabolic process,0.034445282213806695,BP,Genelist1,1.8277695537899157
biological process involved in symbiotic interaction,0.03759547117492274,BP,Genelist1,4.052879617437106
viral life cycle,0.038774474145972564,BP,Genelist1,4.03951367781155
autocrine signaling,0.039797909742339994,BP,Genelist1,75.36548223350253
glycolytic process through glucose-6-phosphate,0.042500900312915216,BP,Genelist1,25.23469387755102
purine ribonucleotide catabolic process,0.04449408347326013,BP,Genelist1,6.353682170542636
nucleoside phosphate catabolic process,0.045230654104443956,BP,Genelist1,5.441022482291346
endopeptidase activity,0.04755012608885913,BP,Genelist1,3.5243992683710084
keratinization,2.291836869036689e-22,MF,Genelist1,37.96309185822878
cornified envelope,2.7040959204617073e-21,MF,Genelist1,47.66309300455642
keratinocyte differentiation,3.028739857726279e-20,MF,Genelist1,18.589403973509935
epidermis development,4.244291103690393e-20,MF,Genelist1,10.67065868263473
skin development,3.2551543226915936e-18,MF,Genelist1,11.330048866458384
extracellular region,2.296525323402652e-17,MF,Genelist1,3.1109959649857784
epidermal cell differentiation,2.0011134140741627e-16,MF,Genelist1,12.428571428571429
extracellular space,2.7063923240235675e-14,MF,Genelist1,3.013990276610283
response to bacterium,8.103681452677322e-14,MF,Genelist1,5.919265649192656
biological process involved in interspecies interaction between organisms,9.329649603276012e-14,MF,Genelist1,3.9116134784254815
defense response,2.1844972285499404e-12,MF,Genelist1,3.6490838164213666
response to other organism,3.102968814278799e-12,MF,Genelist1,3.8526315789473684
response to external biotic stimulus,3.3435879475919435e-12,MF,Genelist1,3.844311377245509
response to biotic stimulus,7.88275391676605e-12,MF,Genelist1,3.7496406816781875
defense response to other organism,2.0223041121718275e-10,MF,Genelist1,3.944915254237288
epithelial cell differentiation,2.0653332758739496e-09,MF,Genelist1,4.744821872410936
vesicle,2.33442316817454e-09,MF,Genelist1,2.3204149532186116
response to external stimulus,6.181938223195355e-09,MF,Genelist1,2.6915852022235
inflammatory response,6.714984190289086e-09,MF,Genelist1,4.367887173555189
extracellular exosome,7.762532622326359e-09,MF,Genelist1,2.79450909792323
immune response,8.816577855588704e-09,MF,Genelist1,2.9891457670882446
extracellular vesicle,1.1601375792844876e-08,MF,Genelist1,2.758589569218645
extracellular membrane-bounded organelle,1.1795566016031947e-08,MF,Genelist1,2.757110867597313
extracellular organelle,1.1795566016031947e-08,MF,Genelist1,2.757110867597313
establishment of skin barrier,1.6083998026875065e-08,MF,Genelist1,37.27225130890052
cell periphery,1.93542097568666e-08,MF,Genelist1,1.9756937822591063
defense response to symbiont,2.991578479476754e-08,MF,Genelist1,3.683982683982684
response to molecule of bacterial origin,5.1459966084030964e-08,MF,Genelist1,6.4757152361942785
plasma membrane,6.512248341163223e-08,MF,Genelist1,1.9658143413007225
defense response to bacterium,9.257945101798572e-08,MF,Genelist1,6.687357816054599
response to stress,1.035841929281102e-07,MF,Genelist1,2.2783253734376587
response to lipopolysaccharide,1.6368012465085124e-07,MF,Genelist1,6.4516618157101275
tissue development,1.6924584256857617e-07,MF,Genelist1,2.7913091539893253
antimicrobial humoral response,1.8509489078483672e-07,MF,Genelist1,11.595486268467326
cellular response to chemical stimulus,1.1984853822657572e-06,MF,Genelist1,2.4157161689688773
immune system process,1.3951981714450244e-06,MF,Genelist1,2.3808310839067786
epithelium development,1.6581776592035029e-06,MF,Genelist1,3.2002367151224544
organophosphate catabolic process,3.7443669948924106e-06,MF,Genelist1,7.150474799123447
secretory granule lumen,4.199810143710182e-06,MF,Genelist1,5.576659038901602
cytoplasmic vesicle lumen,4.7882178781357845e-06,MF,Genelist1,5.521314261436057
vesicle lumen,5.000517545291836e-06,MF,Genelist1,5.503105590062112
peptide cross-linking,5.632436423602225e-06,MF,Genelist1,34.16062176165803
innate immune response,5.948736367539971e-06,MF,Genelist1,3.4179037336932074
cytoplasm,1.2237781743518384e-05,MF,Genelist1,1.417692991621965
carbohydrate derivative catabolic process,1.4649401431106441e-05,MF,Genelist1,6.418535944851734
membrane,1.5917645164382052e-05,MF,Genelist1,1.5158707535995033
cytosol,2.3002058676018438e-05,MF,Genelist1,1.7375055014915155
skin epidermis development,3.683439152598924e-05,MF,Genelist1,9.387544453118224
secretory granule,4.29541806853177e-05,MF,Genelist1,3.104641627029687
antimicrobial humoral immune response mediated by antimicrobial peptide,7.050779777565422e-05,MF,Genelist1,12.560775435120984
cellular response to lipopolysaccharide,7.560257712012338e-05,MF,Genelist1,6.77859366270253
regulation of defense response,7.617504800323491e-05,MF,Genelist1,3.4926686217008798
cellular response to cytokine stimulus,9.718885963421595e-05,MF,Genelist1,3.332046332046332
cellular response to molecule of bacterial origin,0.00012934419950450568,MF,Genelist1,6.454038573637124
response to cytokine,0.00018816686438055265,MF,Genelist1,3.11616046281495
calcium-dependent phospholipase A2 activity,0.00020810633906876035,MF,Genelist1,42.282051282051285
anatomical structure development,0.00024365926083587974,MF,Genelist1,1.7056866410373976
response to chemical,0.0002951572501949909,MF,Genelist1,1.8783867375974268
cellular response to organic substance,0.0003078685345953867,MF,Genelist1,2.313438632832729
regulation of peptidase activity,0.0003495299896340685,MF,Genelist1,5.889228418640183
multicellular organismal process,0.0003828520994188872,MF,Genelist1,1.5835960082137672
cellular response to biotic stimulus,0.00046227219998910753,MF,Genelist1,5.73837406078657
structural constituent of skin epidermis,0.00051023741542012,MF,Genelist1,20.38144329896907
lipid binding,0.000516691267161972,MF,Genelist1,3.168409925447869
cytokine-mediated signaling pathway,0.0005468475538932002,MF,Genelist1,3.972287587672203
humoral immune response,0.0005545382095287195,MF,Genelist1,5.641977500166419
response to lipid,0.000557640189083843,MF,Genelist1,3.0175578611332803
RAGE receptor binding,0.000821458114582351,MF,Genelist1,67.3265306122449
response to organic substance,0.0009209498917019485,MF,Genelist1,2.0412092765033942
response to oxygen-containing compound,0.0009346305456851996,MF,Genelist1,2.3677313677313676
secretory vesicle,0.0010787721963212299,MF,Genelist1,2.5665024630541873
cytoplasmic vesicle,0.0011099827976148622,MF,Genelist1,1.9216328425178577
intracellular vesicle,0.00116840387997529,MF,Genelist1,1.9171974522292994
regulation of inflammatory response,0.0015643202502546151,MF,Genelist1,4.378378378378378
fatty acid binding,0.002933289527026815,MF,Genelist1,14.549337260677467
regulation of response to external stimulus,0.0029525698848781746,MF,Genelist1,2.6656276999464112
cellular catabolic process,0.003295911535927897,MF,Genelist1,2.2992521657387206
phospholipase activity,0.0039012944505804354,MF,Genelist1,8.291666666666666
serine-type endopeptidase activity,0.003974874696186583,MF,Genelist1,6.077399380804954
regulation of multicellular organismal process,0.004086258738196335,MF,Genelist1,1.8864965383335688
organonitrogen compound metabolic process,0.004851358038982318,MF,Genelist1,1.5683485720735975
calcium-dependent protein binding,0.00486768027841679,MF,Genelist1,9.937823834196891
cellular response to oxygen-containing compound,0.004924709402740331,MF,Genelist1,2.526372832369942
endomembrane system,0.005069111746828424,MF,Genelist1,1.5417216877318745
monocarboxylic acid binding,0.005293352020630284,MF,Genelist1,9.801192419618141
regulation of cytokine production,0.005431571806794595,MF,Genelist1,2.971651016284322
response to stimulus,0.005456278753849861,MF,Genelist1,1.41803212106443
regulation of endopeptidase activity,0.005602486190931773,MF,Genelist1,5.4820919820919825
positive regulation of defense response,0.0056139780791092525,MF,Genelist1,3.6970855231724795
cytokine production,0.00612668347687517,MF,Genelist1,2.947200070753674
phospholipid binding,0.006325752620178295,MF,Genelist1,3.5998510380783912
ceramide metabolic process,0.006713744826052805,MF,Genelist1,8.376700680272108
cellular lipid catabolic process,0.007267824299999795,MF,Genelist1,5.326756663205261
regulation of immune system process,0.008105494006214775,MF,Genelist1,2.268933113321001
interleukin-1 receptor binding,0.008851406058018546,MF,Genelist1,31.062794348508636
animal organ development,0.009095913624086486,MF,Genelist1,1.824381492391858
serine-type peptidase activity,0.009154513475141395,MF,Genelist1,5.490481522956327
positive regulation of response to external stimulus,0.009289573107561027,MF,Genelist1,3.21453673230323
cell population proliferation,0.00967384004456536,MF,Genelist1,2.0556260067861674
serine hydrolase activity,0.010883831118597394,MF,Genelist1,5.375
locomotion,0.011451000240475974,MF,Genelist1,2.404140586463357
regulation of interleukin-6 production,0.011536095145486567,MF,Genelist1,6.52319150505125
interleukin-6 production,0.011536095145486567,MF,Genelist1,6.52319150505125
phospholipase A2 activity,0.012626665685117389,MF,Genelist1,15.83974358974359
developmental process,0.01351310496171034,MF,Genelist1,1.4956459901514847
phospholipid catabolic process,0.013788482344640567,MF,Genelist1,12.466442247001893
defense response to Gram-positive bacterium,0.01690876604819094,MF,Genelist1,7.324404761904762
lipase activity,0.019142500032316247,MF,Genelist1,6.558333333333334
sphingolipid metabolic process,0.020393806309352277,MF,Genelist1,6.050816137973514
chemotaxis,0.020394614666537133,MF,Genelist1,3.5024131274131274
defense response to fungus,0.020836001256340893,MF,Genelist1,11.523244504960125
taxis,0.021459734487333387,MF,Genelist1,3.4864864864864864
regulation of cell population proliferation,0.02607628733685458,MF,Genelist1,2.0938536529087712
canonical glycolysis,0.02720243460474997,MF,Genelist1,28.842565597667637
glucose catabolic process to pyruvate,0.02720243460474997,MF,Genelist1,28.842565597667637
NADH regeneration,0.02720243460474997,MF,Genelist1,28.842565597667637
serine-type endopeptidase inhibitor activity,0.027641437001765974,MF,Genelist1,7.444300518134715
cellular lipid metabolic process,0.02974344120559006,MF,Genelist1,2.490098611159055
nucleotide catabolic process,0.03001800476640573,MF,Genelist1,5.747813079249456
regulation of hydrolase activity,0.03244052549380872,MF,Genelist1,3.0405693486376033
regulation of chemokine production,0.03254814553242649,MF,Genelist1,8.124352331606218
chemokine production,0.03254814553242649,MF,Genelist1,8.124352331606218
hydrolase activity,0.0336978541218895,MF,Genelist1,1.894805761676124
nucleoside monophosphate catabolic process,0.03422778211205358,MF,Genelist1,26.918367346938776
catabolic process,0.034445282213806695,MF,Genelist1,1.8277695537899157
biological process involved in symbiotic interaction,0.03759547117492274,MF,Genelist1,4.052879617437106
viral life cycle,0.038774474145972564,MF,Genelist1,4.03951367781155
autocrine signaling,0.039797909742339994,MF,Genelist1,75.36548223350253
glycolytic process through glucose-6-phosphate,0.042500900312915216,MF,Genelist1,25.23469387755102
purine ribonucleotide catabolic process,0.04449408347326013,MF,Genelist1,6.353682170542636
nucleoside phosphate catabolic process,0.045230654104443956,MF,Genelist1,5.441022482291346
endopeptidase activity,0.04755012608885913,MF,Genelist1,3.5243992683710084
keratinization,2.291836869036689e-22,CC,Genelist1,37.96309185822878
cornified envelope,2.7040959204617073e-21,CC,Genelist1,47.66309300455642
keratinocyte differentiation,3.028739857726279e-20,CC,Genelist1,18.589403973509935
epidermis development,4.244291103690393e-20,CC,Genelist1,10.67065868263473
skin development,3.2551543226915936e-18,CC,Genelist1,11.330048866458384
extracellular region,2.296525323402652e-17,CC,Genelist1,3.1109959649857784
epidermal cell differentiation,2.0011134140741627e-16,CC,Genelist1,12.428571428571429
extracellular space,2.7063923240235675e-14,CC,Genelist1,3.013990276610283
response to bacterium,8.103681452677322e-14,CC,Genelist1,5.919265649192656
biological process involved in interspecies interaction between organisms,9.329649603276012e-14,CC,Genelist1,3.9116134784254815
defense response,2.1844972285499404e-12,CC,Genelist1,3.6490838164213666
response to other organism,3.102968814278799e-12,CC,Genelist1,3.8526315789473684
response to external biotic stimulus,3.3435879475919435e-12,CC,Genelist1,3.844311377245509
response to biotic stimulus,7.88275391676605e-12,CC,Genelist1,3.7496406816781875
defense response to other organism,2.0223041121718275e-10,CC,Genelist1,3.944915254237288
epithelial cell differentiation,2.0653332758739496e-09,CC,Genelist1,4.744821872410936
vesicle,2.33442316817454e-09,CC,Genelist1,2.3204149532186116
response to external stimulus,6.181938223195355e-09,CC,Genelist1,2.6915852022235
inflammatory response,6.714984190289086e-09,CC,Genelist1,4.367887173555189
extracellular exosome,7.762532622326359e-09,CC,Genelist1,2.79450909792323
immune response,8.816577855588704e-09,CC,Genelist1,2.9891457670882446
extracellular vesicle,1.1601375792844876e-08,CC,Genelist1,2.758589569218645
extracellular membrane-bounded organelle,1.1795566016031947e-08,CC,Genelist1,2.757110867597313
extracellular organelle,1.1795566016031947e-08,CC,Genelist1,2.757110867597313
establishment of skin barrier,1.6083998026875065e-08,CC,Genelist1,37.27225130890052
cell periphery,1.93542097568666e-08,CC,Genelist1,1.9756937822591063
defense response to symbiont,2.991578479476754e-08,CC,Genelist1,3.683982683982684
response to molecule of bacterial origin,5.1459966084030964e-08,CC,Genelist1,6.4757152361942785
plasma membrane,6.512248341163223e-08,CC,Genelist1,1.9658143413007225
defense response to bacterium,9.257945101798572e-08,CC,Genelist1,6.687357816054599
response to stress,1.035841929281102e-07,CC,Genelist1,2.2783253734376587
response to lipopolysaccharide,1.6368012465085124e-07,CC,Genelist1,6.4516618157101275
tissue development,1.6924584256857617e-07,CC,Genelist1,2.7913091539893253
antimicrobial humoral response,1.8509489078483672e-07,CC,Genelist1,11.595486268467326
cellular response to chemical stimulus,1.1984853822657572e-06,CC,Genelist1,2.4157161689688773
immune system process,1.3951981714450244e-06,CC,Genelist1,2.3808310839067786
epithelium development,1.6581776592035029e-06,CC,Genelist1,3.2002367151224544
organophosphate catabolic process,3.7443669948924106e-06,CC,Genelist1,7.150474799123447
secretory granule lumen,4.199810143710182e-06,CC,Genelist1,5.576659038901602
cytoplasmic vesicle lumen,4.7882178781357845e-06,CC,Genelist1,5.521314261436057
vesicle lumen,5.000517545291836e-06,CC,Genelist1,5.503105590062112
peptide cross-linking,5.632436423602225e-06,CC,Genelist1,34.16062176165803
innate immune response,5.948736367539971e-06,CC,Genelist1,3.4179037336932074
cytoplasm,1.2237781743518384e-05,CC,Genelist1,1.417692991621965
carbohydrate derivative catabolic process,1.4649401431106441e-05,CC,Genelist1,6.418535944851734
membrane,1.5917645164382052e-05,CC,Genelist1,1.5158707535995033
cytosol,2.3002058676018438e-05,CC,Genelist1,1.7375055014915155
skin epidermis development,3.683439152598924e-05,CC,Genelist1,9.387544453118224
secretory granule,4.29541806853177e-05,CC,Genelist1,3.104641627029687
antimicrobial humoral immune response mediated by antimicrobial peptide,7.050779777565422e-05,CC,Genelist1,12.560775435120984
cellular response to lipopolysaccharide,7.560257712012338e-05,CC,Genelist1,6.77859366270253
regulation of defense response,7.617504800323491e-05,CC,Genelist1,3.4926686217008798
cellular response to cytokine stimulus,9.718885963421595e-05,CC,Genelist1,3.332046332046332
cellular response to molecule of bacterial origin,0.00012934419950450568,CC,Genelist1,6.454038573637124
response to cytokine,0.00018816686438055265,CC,Genelist1,3.11616046281495
calcium-dependent phospholipase A2 activity,0.00020810633906876035,CC,Genelist1,42.282051282051285
anatomical structure development,0.00024365926083587974,CC,Genelist1,1.7056866410373976
response to chemical,0.0002951572501949909,CC,Genelist1,1.8783867375974268
cellular response to organic substance,0.0003078685345953867,CC,Genelist1,2.313438632832729
regulation of peptidase activity,0.0003495299896340685,CC,Genelist1,5.889228418640183
multicellular organismal process,0.0003828520994188872,CC,Genelist1,1.5835960082137672
cellular response to biotic stimulus,0.00046227219998910753,CC,Genelist1,5.73837406078657
structural constituent of skin epidermis,0.00051023741542012,CC,Genelist1,20.38144329896907
lipid binding,0.000516691267161972,CC,Genelist1,3.168409925447869
cytokine-mediated signaling pathway,0.0005468475538932002,CC,Genelist1,3.972287587672203
humoral immune response,0.0005545382095287195,CC,Genelist1,5.641977500166419
response to lipid,0.000557640189083843,CC,Genelist1,3.0175578611332803
RAGE receptor binding,0.000821458114582351,CC,Genelist1,67.3265306122449
response to organic substance,0.0009209498917019485,CC,Genelist1,2.0412092765033942
response to oxygen-containing compound,0.0009346305456851996,CC,Genelist1,2.3677313677313676
secretory vesicle,0.0010787721963212299,CC,Genelist1,2.5665024630541873
cytoplasmic vesicle,0.0011099827976148622,CC,Genelist1,1.9216328425178577
intracellular vesicle,0.00116840387997529,CC,Genelist1,1.9171974522292994
regulation of inflammatory response,0.0015643202502546151,CC,Genelist1,4.378378378378378
